snapshot,offwind
2023-01-01,0.0
2023-01-08,3.473705286352681e-13
2023-01-15,7.695193174777223e-12
2023-01-22,1.1851852832478471e-11
2023-01-29,2.9429532518341146e-12
2023-02-05,-5.9724425804833385e-12
2023-02-12,-3.1544779123315563e-11
2023-02-19,0.0
2023-02-26,0.0
2023-03-05,0.0
2023-03-12,0.0
2023-03-19,0.0
2023-03-26,0.0
2023-04-02,0.0
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,6.761956569896236e-12
2023-10-29,6.224354365258478e-12
2023-11-05,0.0
2023-11-12,0.0
2023-11-19,0.0
2023-11-26,0.0
2023-12-03,0.0
2023-12-10,-2.7693666487492367e-12
2023-12-17,-7.811226847450614e-13
2023-12-24,0.0
2023-12-31,0.0
